INFO:__main__:Hello World
2016-03-14 15:32:47,476 Starting new HTTP connection (1): localhost
2016-03-14 15:32:47,478 "GET / HTTP/1.1" 200 12
2016-03-14 15:32:47,478 <Response [200]>
2016-03-14 15:32:50,486 Starting new HTTP connection (1): localhost
2016-03-14 15:32:50,489 "GET / HTTP/1.1" 200 12
2016-03-14 15:32:50,490 <Response [200]>
2016-03-14 15:32:53,498 Starting new HTTP connection (1): localhost
2016-03-14 15:32:53,501 "GET / HTTP/1.1" 200 12
2016-03-14 15:32:53,501 <Response [200]>
2016-03-14 15:32:56,508 Starting new HTTP connection (1): localhost
2016-03-14 15:32:56,511 "GET / HTTP/1.1" 200 12
2016-03-14 15:32:56,512 <Response [200]>
2016-03-14 15:32:59,518 Starting new HTTP connection (1): localhost
2016-03-14 15:32:59,520 "GET / HTTP/1.1" 200 12
2016-03-14 15:32:59,521 <Response [200]>
2016-03-14 15:33:02,528 Starting new HTTP connection (1): localhost
2016-03-14 15:33:02,530 "GET / HTTP/1.1" 200 12
2016-03-14 15:33:02,531 <Response [200]>
2016-03-14 15:33:05,535 Starting new HTTP connection (1): localhost
2016-03-14 15:33:05,537 "GET / HTTP/1.1" 200 12
2016-03-14 15:33:05,537 <Response [200]>
2016-03-14 15:33:08,546 Starting new HTTP connection (1): localhost
2016-03-14 15:33:08,548 "GET / HTTP/1.1" 200 12
2016-03-14 15:33:08,549 <Response [200]>
2016-03-14 15:33:11,557 Starting new HTTP connection (1): localhost
2016-03-14 15:33:11,560 "GET / HTTP/1.1" 200 12
2016-03-14 15:33:11,561 <Response [200]>
2016-03-14 15:33:14,568 Starting new HTTP connection (1): localhost
2016-03-14 15:33:14,570 "GET / HTTP/1.1" 200 12
2016-03-14 15:33:14,570 <Response [200]>
2016-03-14 15:36:14,238 Starting new HTTP connection (1): localhost
2016-03-14 15:36:14,247 "GET / HTTP/1.1" 500 4331
2016-03-14 15:36:14,248 500
2016-03-14 15:36:17,254 Starting new HTTP connection (1): localhost
2016-03-14 15:36:17,256 "GET / HTTP/1.1" 200 12
2016-03-14 15:36:17,256 200
2016-03-14 15:36:20,259 Starting new HTTP connection (1): localhost
2016-03-14 15:36:20,275 "GET / HTTP/1.1" 500 4331
2016-03-14 15:36:20,276 500
2016-03-14 15:36:23,284 Starting new HTTP connection (1): localhost
2016-03-14 15:36:23,294 "GET / HTTP/1.1" 500 4331
2016-03-14 15:36:23,294 500
2016-03-14 15:36:26,300 Starting new HTTP connection (1): localhost
